risk	id	score	file	issues	summary
low	V3-T004	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012250_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T005	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012332_084.json		The plan aligns well with the goal, covering all necessary steps without introducing any fabrication or inconsistencies.
low	V3-T006	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012422_084.json		The plan accurately addresses the goal by researching necessary components, updating the UI, and implementing the timer logic.
low	V3-T008	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012549_084.json		The plan accurately addresses the goal by researching necessary WPF features, creating a dialog for input, and updating both XAML and code-behind files.
low	V3-T009	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012626_084.json		The plan aligns well with the goal, ensuring the activity log panel becomes collapsible with an expander header that includes an unread-entry count badge.
low	V3-T010	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012657_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T011	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012742_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T012	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012803_084.json		The plan accurately addresses the goal by researching necessary techniques, updating the UI, and implementing the search logic.
low	V3-T013	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012830_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T014	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012853_084.json		The plan aligns well with the goal, covering research on retrieving and filtering fonts, implementing font management logic in code-behind, and updating the UI to include a ComboBox for selecting monospace fonts.
low	V3-T015	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012918_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T017	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013030_084.json		The plan aligns well with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T018	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013124_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T019	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013148_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T021	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013238_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T022	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013316_084.json		The plan aligns well with the goal, covering research, coding, and UI development tasks without introducing any inconsistencies or fabrications.
low	V3-T023	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013347_084.json		The plan aligns with the goal, detailing tasks to implement a Ctrl+Shift+T shortcut for reopening tabs while managing file history and checking disk existence.
low	V3-T025	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013533_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T027	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013649_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T029	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013823_084.json		The plan aligns well with the goal, implementing an approval gate without introducing any fabrication or inconsistencies.
low	V3-T030	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_013852_084.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T033	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014101_084.json		The plan accurately addresses the goal by creating a run-history panel in the Swarm Board, including file reading, data parsing, and UI updates.
low	V3-T034	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014143_084.json		The plan accurately addresses the goal by researching necessary WPF components, implementing a value converter in C#, and updating the XAML file to apply the converter.
low	V3-T036	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014335_084.json		The plan aligns well with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T037	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014358_084.json		The plan accurately aligns with the goal, detailing tasks for researching and implementing a Windows toast notification service and integrating it into an existing event handler.
low	V3-T038	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014438_084.json		The plan aligns with the goal of grouping task cards into priority columns on the Swarm Board, using WPF for UI layout and C# for logic implementation.
low	V3-T044	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014846_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T046	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_014957_084.json		The plan aligns with the goal, providing a clear and consistent approach to adding a cached model list with TTL and a refresh button.
low	V3-T047	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015024_084.json		The plan aligns well with the goal, covering research, code updates, and UI modifications without introducing any inconsistencies or fabrications.
low	V3-T049	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015112_084.json		The plan aligns well with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T050	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015149_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T053	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015324_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T054	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015353_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T056	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015555_084.json		The plan aligns well with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T057	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015618_084.json		The plan aligns well with the goal, providing a clear sequence of tasks for adding a fallback-host list to OllamaClient.cs and updating the UI to display the active host.
low	V3-T058	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015650_084.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T059	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015734_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T060	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015817_084.json		The plan aligns well with the goal, covering JSON persistence and WPF list sorting without introducing any fabrication or inconsistencies.
low	V3-T061	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015857_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T062	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_015935_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T065	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020110_084.json		The plan accurately addresses the goal by creating a formatter class and updating the UI code to use it.
low	V3-T066	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020138_084.json		The plan is well-aligned with the goal, focusing on detecting duplicates in Model Wiki and updating the UI accordingly.
low	V3-T069	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020301_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T072	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020408_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T075	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020537_084.json		The plan aligns well with the goal, providing a clear and logical sequence of tasks to implement the token estimator and integrate it into the UI.
low	V3-T076	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020559_084.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T078	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020659_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T079	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020717_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T083	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_020910_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T093	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022002_084.json		The plan aligns with the goal, providing a clear sequence of tasks to add a commit-message template setting in a WPF application.
low	V3-T094	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022027_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T096	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022139_084.json		The plan aligns well with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T098	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022318_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T099	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022340_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T100	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022410_084.json		The plan aligns well with the goal, detailing steps to create a service that fetches git status, parses it, and updates the UI accordingly.
low	V3-T101	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022446_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T110	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_022807_084.json		The plan aligns well with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T123	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_023408_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T126	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_023536_084.json		The plan aligns well with the goal, providing a clear sequence of tasks without introducing any fabrication or inconsistencies.
low	V3-T128	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_023613_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T129	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_023636_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T131	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_023713_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T132	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_023738_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T139	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024049_084.json		The plan aligns well with the goal, providing clear steps for adding JSON output to phase3_preflight.py without introducing any fabrication or inconsistencies.
low	V3-T007	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_012459_078.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T016	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_012938_078.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T071	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_020345_078.json		The plan aligns with the goal, focusing on creating a debounce utility with appropriate methods and documentation.
low	V3-T080	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_020740_078.json		The plan is clear, consistent with the goal, and does not introduce any fabrication or contradictions.
low	V3-T087	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_021318_078.json		The plan aligns with the goal, covering necessary research and coding tasks without introducing fabrication or inconsistencies.
low	V3-T091	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_021755_078.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T092	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_021902_078.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T107	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_022654_078.json		The plan aligns well with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T122	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_023341_078.json		The plan aligns with the goal, providing a clear sequence of tasks to achieve the desired functionality without introducing any fabrication or inconsistencies.
low	V3-T125	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_023515_078.json		The plan aligns well with the goal, focusing on researching the necessary dotnet test filters and PowerShell output parsing techniques, followed by implementing the script to meet the specified requirements.
low	V3-T134	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_023841_078.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T138	78	.orc/swarm/dataset-staging/plan_capture_good_20260611_024020_078.json		The plan is consistent with the goal and does not introduce any fabrication.
